id,pop,col,popshape
ARU-1,ARU,green,ELLIPSE
ARU-2,ARU,green,ELLIPSE
ARU-3,ARU,green,ELLIPSE
ARU-4,ARU,green,ELLIPSE
ARU-5,ARU,green,ELLIPSE
ARU-6,ARU,green,ELLIPSE
ARU-7,ARU,green,ELLIPSE
ARU-8,ARU,green,ELLIPSE
ARU-9,ARU,green,ELLIPSE
ARU-10,ARU,green,ELLIPSE
ARU-11,ARU,green,ELLIPSE
ARU-12,ARU,green,ELLIPSE
ARU-13,ARU,green,ELLIPSE
ARU-14,ARU,green,ELLIPSE
ARU-15,ARU,green,ELLIPSE
ARU-16,ARU,green,ELLIPSE
ARU-17,ARU,green,ELLIPSE
ARU-18,ARU,green,ELLIPSE
ARU-19,ARU,green,ELLIPSE
ARU-20,ARU,green,ELLIPSE
ARU-21,ARU,green,ELLIPSE
ARU-22,ARU,green,ELLIPSE
ARU-23,ARU,green,ELLIPSE
ARU-24,ARU,green,ELLIPSE
ARU-25,ARU,green,ELLIPSE
ARU-26,ARU,green,ELLIPSE
ARU-27,ARU,green,ELLIPSE
BAL-1,BAL,blue,RECTANGLE
BAL-2,BAL,blue,RECTANGLE
BAL-3,BAL,blue,RECTANGLE
BAL-4,BAL,blue,RECTANGLE
BAL-5,BAL,blue,RECTANGLE
BAL-6,BAL,blue,RECTANGLE
BAL-7,BAL,blue,RECTANGLE
BAL-8,BAL,blue,RECTANGLE
BAL-9,BAL,blue,RECTANGLE
BAL-10,BAL,blue,RECTANGLE
BAL-11,BAL,blue,RECTANGLE
BAL-12,BAL,blue,RECTANGLE
BAL-13,BAL,blue,RECTANGLE
BAL-14,BAL,blue,RECTANGLE
BAL-15,BAL,blue,RECTANGLE
BAL-16,BAL,blue,RECTANGLE
BAL-17,BAL,blue,RECTANGLE
BAL-18,BAL,blue,RECTANGLE
BAL-19,BAL,blue,RECTANGLE
BAL-20,BAL,blue,RECTANGLE
BAL-21,BAL,blue,RECTANGLE
BAL-22,BAL,blue,RECTANGLE
BAL-23,BAL,blue,RECTANGLE
BAL-24,BAL,blue,RECTANGLE
BAL-25,BAL,blue,RECTANGLE
BAL-26,BAL,blue,RECTANGLE
BAL-27,BAL,blue,RECTANGLE
BAL-28,BAL,blue,RECTANGLE
BAL-29,BAL,blue,RECTANGLE
BAL-30,BAL,blue,RECTANGLE
BAL-31,BAL,blue,RECTANGLE
BAL-32,BAL,blue,RECTANGLE
WPA-1,WPA,purple,TRIANGLE
WPA-2,WPA,purple,TRIANGLE
WPA-3,WPA,purple,TRIANGLE
WPA-4,WPA,purple,TRIANGLE
WPA-5,WPA,purple,TRIANGLE
WPA-6,WPA,purple,TRIANGLE
WPA-7,WPA,purple,TRIANGLE
WPA-8,WPA,purple,TRIANGLE
WPA-9,WPA,purple,TRIANGLE
WPA-10,WPA,purple,TRIANGLE
WPA-11,WPA,purple,TRIANGLE
WPA-12,WPA,purple,TRIANGLE
WPA-13,WPA,purple,TRIANGLE
WPA-14,WPA,purple,TRIANGLE
WPA-15,WPA,purple,TRIANGLE
WPA-16,WPA,purple,TRIANGLE
WPA-17,WPA,purple,TRIANGLE
WPA-18,WPA,purple,TRIANGLE
WPA-19,WPA,purple,TRIANGLE
WPA-20,WPA,purple,TRIANGLE
WPA-21,WPA,purple,TRIANGLE
WPA-22,WPA,purple,TRIANGLE
WPA-23,WPA,purple,TRIANGLE
WPA-24,WPA,purple,TRIANGLE
